Year,Code,College Name,Branch,OC,BC,BCM,MBC,SC,SCA,ST
2021,1,"University Departments of Anna University, Chennai - CEG Campus, Sardar Patel Road, Guindy, Chennai 600 025",BIO MEDICAL ENGINEERING (SS),"1,248","1,998","2,390","1,420","8,937","22,463","26,147"
2021,1,"University Departments of Anna University, Chennai - CEG Campus, Sardar Patel Road, Guindy, Chennai 600 025",CIVIL ENGINEERING,"2,326","3,227","6,363","2,527","7,316","23,541","43,295"
2021,1,"University Departments of Anna University, Chennai - CEG Campus, Sardar Patel Road, Guindy, Chennai 600 025",COMPUTER SCIENCE AND ENGINEERING (SS),175,260,631,312,"2,940","3,853","5,838"
2021,1,"University Departments of Anna University, Chennai - CEG Campus, Sardar Patel Road, Guindy, Chennai 600 025",COMPUTER SCIENCE AND ENGINEERING,29,111,388,67,551,"2,101","3,779"
2021,1,"University Departments of Anna University, Chennai - CEG Campus, Sardar Patel Road, Guindy, Chennai 600 025",ELECTRONICS AND COMMUNICATION ENGINEERING,218,332,789,368,"1,680","4,067","3,514"
2021,1,"University Departments of Anna University, Chennai - CEG Campus, Sardar Patel Road, Guindy, Chennai 600 025",ELECTRICAL AND ELECTRONICS ENGINEERING,809,"1,297","2,153","1,046","5,615","6,509","5,534"
2021,1,"University Departments of Anna University, Chennai - CEG Campus, Sardar Patel Road, Guindy, Chennai 600 025",ELECTRONICS AND COMMUNICATION ENGINEERING (SS),540,722,853,724,"3,760","8,916","11,789"
2021,1,"University Departments of Anna University, Chennai - CEG Campus, Sardar Patel Road, Guindy, Chennai 600 025",GEO INFORMATICS,"2,648","3,961","4,374","2,693","10,811","22,902",—
2021,1,"University Departments of Anna University, Chennai - CEG Campus, Sardar Patel Road, Guindy, Chennai 600 025",INDUSTRIAL ENGINEERING,"3,983","5,004","6,580","4,896","12,535","29,151",—
2021,1,"University Departments of Anna University, Chennai - CEG Campus, Sardar Patel Road, Guindy, Chennai 600 025",INFORMATION TECHNOLOGY (SS),470,720,"1,661",856,"4,894","8,754","3,569"
2021,1,"University Departments of Anna University, Chennai - CEG Campus, Sardar Patel Road, Guindy, Chennai 600 025",MATERIAL SCIENCE AND ENGINEERING (SS),"4,125","5,897","10,642","5,806","16,965","52,089",—
2021,1,"University Departments of Anna University, Chennai - CEG Campus, Sardar Patel Road, Guindy, Chennai 600 025",MECHANICAL ENGINEERING,"1,493","2,398","2,896","2,293","10,380","13,573","25,853"
2021,1,"University Departments of Anna University, Chennai - CEG Campus, Sardar Patel Road, Guindy, Chennai 600 025",MINING ENGINEERING,"6,153","10,139","9,460","11,969","19,668","44,774",—
2021,1,"University Departments of Anna University, Chennai - CEG Campus, Sardar Patel Road, Guindy, Chennai 600 025",MANUFACTURING ENGINEERING,"5,064","7,088","13,132","5,666","15,353","17,201","48,416"
2021,1,"University Departments of Anna University, Chennai - CEG Campus, Sardar Patel Road, Guindy, Chennai 600 025",PRINTING TECHNOLOGY,"7,762","11,815","16,817","11,168","20,410","36,074",—
2021,1,"University Departments of Anna University, Chennai - CEG Campus, Sardar Patel Road, Guindy, Chennai 600 025",CIVIL ENGINEERING (TAMIL MEDIUM),"12,591","24,175","34,308","22,879","36,973","47,907",—
2021,1,"University Departments of Anna University, Chennai - CEG Campus, Sardar Patel Road, Guindy, Chennai 600 025",MECHANICAL ENGINEERING (TAMIL MEDIUM),"18,045","22,322","22,709",—,"36,264","40,564",—
2021,2,"University Departments of Anna University, Chennai - ACT Campus, Sardar Patel Road, Guindy, Chennai 600 025",APPAREL TECHNOLOGY (SS),"13,645","22,334","30,537","17,325","43,062","61,533",—
2021,2,"University Departments of Anna University, Chennai - ACT Campus, Sardar Patel Road, Guindy, Chennai 600 025",CHEMICAL ENGINEERING,"2,223","4,117",—,"2,494","11,931","27,624","10,991"
2021,2,"University Departments of Anna University, Chennai - ACT Campus, Sardar Patel Road, Guindy, Chennai 600 025",CHEMICAL ENGINEERING (SS),"4,534","5,976","9,973","4,898","17,334",—,"52,866"
2021,2,"University Departments of Anna University, Chennai - ACT Campus, Sardar Patel Road, Guindy, Chennai 600 025",CERAMIC TECHNOLOGY (SS),"15,446","22,104","19,992","23,826","40,824","81,005",—
2021,2,"University Departments of Anna University, Chennai - ACT Campus, Sardar Patel Road, Guindy, Chennai 600 025",FOOD TECHNOLOGY (SS),"4,535","5,880","8,418",—,"17,392","23,813",—
2021,2,"University Departments of Anna University, Chennai - ACT Campus, Sardar Patel Road, Guindy, Chennai 600 025",INDUSTRIAL BIO TECHNOLOGY,"1,010","2,148","3,981",—,"10,124","18,797",—
2021,2,"University Departments of Anna University, Chennai - ACT Campus, Sardar Patel Road, Guindy, Chennai 600 025",INDUSTRIAL BIO TECHNOLOGY (SS),"1,877","2,493","6,394","7,103","13,535","34,688",—
2021,2,"University Departments of Anna University, Chennai - ACT Campus, Sardar Patel Road, Guindy, Chennai 600 025",LEATHER TECHNOLOGY,"16,382","22,881","23,928","25,236","32,867","36,502","77,574"
2021,2,"University Departments of Anna University, Chennai - ACT Campus, Sardar Patel Road, Guindy, Chennai 600 025",PHARMACEUTICAL TECHNOLOGY (SS),"6,295","9,111","11,238","11,619","20,362","42,403","60,120"
2021,2,"University Departments of Anna University, Chennai - ACT Campus, Sardar Patel Road, Guindy, Chennai 600 025",PETROLEUM ENGINEERING AND TECHNOLOGY (SS),"12,021","14,158","14,203","17,887","23,374","46,392",—
2021,2,"University Departments of Anna University, Chennai - ACT Campus, Sardar Patel Road, Guindy, Chennai 600 025",TEXTILE TECHNOLOGY,"14,856","18,871","22,985","18,279","31,952","62,594","81,510"
2021,4,"University Departments of Anna University, Chennai - MIT Campus, Chrompet, Tambaram Taluk, Chengalpattu District 600 044",AERONAUTICAL ENGINEERING,948,"1,898","2,827","1,770","7,479","12,147",—
2021,4,"University Departments of Anna University, Chennai - MIT Campus, Chrompet, Tambaram Taluk, Chengalpattu District 600 044",AUTOMOBILE ENGINEERING,"4,478","6,926","7,685",—,"14,098","38,061","39,708"
2021,4,"University Departments of Anna University, Chennai - MIT Campus, Chrompet, Tambaram Taluk, Chengalpattu District 600 044",COMPUTER SCIENCE AND ENGINEERING (SS),580,709,"1,669",825,"4,816","9,750","11,738"
2021,4,"University Departments of Anna University, Chennai - MIT Campus, Chrompet, Tambaram Taluk, Chengalpattu District 600 044",COMPUTER SCIENCE AND ENGINEERING,362,493,"1,170",364,"3,466","2,563",—
2021,4,"University Departments of Anna University, Chennai - MIT Campus, Chrompet, Tambaram Taluk, Chengalpattu District 600 044",ELECTRONICS AND COMMUNICATION ENGINEERING,795,970,"2,117",—,"4,290","5,798","14,670"
2021,4,"University Departments of Anna University, Chennai - MIT Campus, Chrompet, Tambaram Taluk, Chengalpattu District 600 044",ELECTRONICS AND INSTRUMENTATION ENGINEERING,"1,528","2,048","2,657","1,759","7,729","22,906","20,157"
2021,4,"University Departments of Anna University, Chennai - MIT Campus, Chrompet, Tambaram Taluk, Chengalpattu District 600 044",ELECTRONICS AND COMMUNICATION ENGINEERING (SS),"1,084","1,268","2,300","1,163","6,638",—,"16,224"
2021,4,"University Departments of Anna University, Chennai - MIT Campus, Chrompet, Tambaram Taluk, Chengalpattu District 600 044",INFORMATION TECHNOLOGY (SS),949,"1,203","2,135","1,111","6,522","11,666",—
2021,4,"University Departments of Anna University, Chennai - MIT Campus, Chrompet, Tambaram Taluk, Chengalpattu District 600 044",MECHANICAL ENGINEERING (SS),"2,788","3,424","5,650","2,815","13,788","16,180","40,695"
2021,4,"University Departments of Anna University, Chennai - MIT Campus, Chrompet, Tambaram Taluk, Chengalpattu District 600 044",PRODUCTION ENGINEERING,"5,439","7,819","9,891","9,677","17,608","31,757",—
2021,4,"University Departments of Anna University, Chennai - MIT Campus, Chrompet, Tambaram Taluk, Chengalpattu District 600 044",RUBBER AND PLASTIC TECHNOLOGY,"10,371","14,615","18,645","16,953","26,040","46,483",—
2021,1516,"Thanthai Periyar Government Institute of Technology, Bagayam, Vellore District 632002",CIVIL ENGINEERING,"43,867","60,676","78,362","48,421","72,334","80,731",—
2021,1516,"Thanthai Periyar Government Institute of Technology, Bagayam, Vellore District 632002",COMPUTER SCIENCE AND ENGINEERING,"12,226","14,576","13,157","18,229","35,933","65,335","60,926"
2021,1516,"Thanthai Periyar Government Institute of Technology, Bagayam, Vellore District 632002",ELECTRONICS AND COMMUNICATION ENGINEERING,"20,636","28,917","41,402","27,131","53,173","68,776","86,401"
2021,1516,"Thanthai Periyar Government Institute of Technology, Bagayam, Vellore District 632002",ELECTRICAL AND ELECTRONICS ENGINEERING,"28,018","35,704","60,694","30,794","58,272","80,383",—
2021,1516,"Thanthai Periyar Government Institute of Technology, Bagayam, Vellore District 632002",MECHANICAL ENGINEERING,"48,071","61,267","74,954","54,727","79,670","101,290","81,501"
2021,2005,"Government College of Technology (Autonomous), Thadagam Road, Coimbatore District 641013",CIVIL ENGINEERING,"13,873","18,742","24,332","17,038","30,453","34,946","40,335"
2021,2005,"Government College of Technology (Autonomous), Thadagam Road, Coimbatore District 641013",COMPUTER SCIENCE AND ENGINEERING,"1,497","2,178","4,683","2,417","10,407","9,647",—
