Year,Code,College Name,Branch,OC,BC,BCM,MBC,SC,SCA,ST
2021,1,"University Departments of Anna University, Chennai - CEG Campus, Sardar Patel Road, Guindy, Chennai 600 025",BIO MEDICAL ENGINEERING (SS),195.0,194.0,193.5,194.8,189.0,182.5,181.0
2021,1,"University Departments of Anna University, Chennai - CEG Campus, Sardar Patel Road, Guindy, Chennai 600 025",CIVIL ENGINEERING,193.5,192.7,190.5,193.3,190.0,182.0,174.6
2021,1,"University Departments of Anna University, Chennai - CEG Campus, Sardar Patel Road, Guindy, Chennai 600 025",COMPUTER SCIENCE AND ENGINEERING (SS),198.0,197.7,196.4,197.5,193.0,192.1,190.8
2021,1,"University Departments of Anna University, Chennai - CEG Campus, Sardar Patel Road, Guindy, Chennai 600 025",COMPUTER SCIENCE AND ENGINEERING,199.0,198.1,197.0,198.6,196.5,193.9,192.2
2021,1,"University Departments of Anna University, Chennai - CEG Campus, Sardar Patel Road, Guindy, Chennai 600 025",ELECTRONICS AND COMMUNICATION ENGINEERING,198.0,197.3,196.0,197.1,194.3,192.0,192.5
2021,1,"University Departments of Anna University, Chennai - CEG Campus, Sardar Patel Road, Guindy, Chennai 600 025",ELECTRICAL AND ELECTRONICS ENGINEERING,196.0,195.0,193.8,195.5,191.0,190.4,191.0
2021,1,"University Departments of Anna University, Chennai - CEG Campus, Sardar Patel Road, Guindy, Chennai 600 025",ELECTRONICS AND COMMUNICATION ENGINEERING (SS),196.6,196.0,195.9,196.0,192.2,189.0,187.5
2021,1,"University Departments of Anna University, Chennai - CEG Campus, Sardar Patel Road, Guindy, Chennai 600 025",GEO INFORMATICS,193.2,192.0,192.0,193.1,188.0,182.3,—
2021,1,"University Departments of Anna University, Chennai - CEG Campus, Sardar Patel Road, Guindy, Chennai 600 025",INDUSTRIAL ENGINEERING,192.0,191.4,190.3,191.5,187.1,179.8,—
2021,1,"University Departments of Anna University, Chennai - CEG Campus, Sardar Patel Road, Guindy, Chennai 600 025",INFORMATION TECHNOLOGY (SS),197.0,196.0,194.4,195.8,191.5,189.1,192.4
2021,1,"University Departments of Anna University, Chennai - CEG Campus, Sardar Patel Road, Guindy, Chennai 600 025",MATERIAL SCIENCE AND ENGINEERING (SS),192.0,190.8,188.1,190.9,184.9,171.6,—
2021,1,"University Departments of Anna University, Chennai - CEG Campus, Sardar Patel Road, Guindy, Chennai 600 025",MECHANICAL ENGINEERING,194.6,193.5,193.0,193.5,188.3,186.5,181.1
2021,1,"University Departments of Anna University, Chennai - CEG Campus, Sardar Patel Road, Guindy, Chennai 600 025",MINING ENGINEERING,190.5,188.4,188.8,187.5,183.7,174.1,—
2021,1,"University Departments of Anna University, Chennai - CEG Campus, Sardar Patel Road, Guindy, Chennai 600 025",MANUFACTURING ENGINEERING,191.4,190.0,186.8,191.0,185.7,184.8,172.9
2021,1,"University Departments of Anna University, Chennai - CEG Campus, Sardar Patel Road, Guindy, Chennai 600 025",PRINTING TECHNOLOGY,189.8,187.5,185.0,187.9,183.4,177.2,—
2021,1,"University Departments of Anna University, Chennai - CEG Campus, Sardar Patel Road, Guindy, Chennai 600 025",CIVIL ENGINEERING (TAMIL MEDIUM),187.0,181.8,177.8,182.3,176.9,173.0,—
2021,1,"University Departments of Anna University, Chennai - CEG Campus, Sardar Patel Road, Guindy, Chennai 600 025",MECHANICAL ENGINEERING (TAMIL MEDIUM),184.4,182.5,182.4,—,177.1,175.6,—
2021,2,"University Departments of Anna University, Chennai - ACT Campus, Sardar Patel Road, Guindy, Chennai 600 025",APPAREL TECHNOLOGY (SS),186.5,182.5,179.3,184.7,174.7,168.5,—
2021,2,"University Departments of Anna University, Chennai - ACT Campus, Sardar Patel Road, Guindy, Chennai 600 025",CHEMICAL ENGINEERING,193.7,192.0,—,193.4,187.5,180.4,188.0
2021,2,"University Departments of Anna University, Chennai - ACT Campus, Sardar Patel Road, Guindy, Chennai 600 025",CHEMICAL ENGINEERING (SS),191.7,190.7,188.5,191.5,184.7,—,171.4
2021,2,"University Departments of Anna University, Chennai - ACT Campus, Sardar Patel Road, Guindy, Chennai 600 025",CERAMIC TECHNOLOGY (SS),185.6,182.6,183.5,181.9,175.5,161.8,—
2021,2,"University Departments of Anna University, Chennai - ACT Campus, Sardar Patel Road, Guindy, Chennai 600 025",FOOD TECHNOLOGY (SS),191.7,190.8,189.4,—,184.7,181.9,—
2021,2,"University Departments of Anna University, Chennai - ACT Campus, Sardar Patel Road, Guindy, Chennai 600 025",INDUSTRIAL BIO TECHNOLOGY,195.5,193.8,192.0,—,188.4,184.0,—
2021,2,"University Departments of Anna University, Chennai - ACT Campus, Sardar Patel Road, Guindy, Chennai 600 025",INDUSTRIAL BIO TECHNOLOGY (SS),194.0,193.4,190.5,190.0,186.6,177.7,—
2021,2,"University Departments of Anna University, Chennai - ACT Campus, Sardar Patel Road, Guindy, Chennai 600 025",LEATHER TECHNOLOGY,185.2,182.3,181.9,181.3,178.4,177.0,163.0
2021,2,"University Departments of Anna University, Chennai - ACT Campus, Sardar Patel Road, Guindy, Chennai 600 025",PHARMACEUTICAL TECHNOLOGY (SS),190.5,189.0,187.8,187.5,183.4,175.0,168.9
2021,2,"University Departments of Anna University, Chennai - ACT Campus, Sardar Patel Road, Guindy, Chennai 600 025",PETROLEUM ENGINEERING AND TECHNOLOGY (SS),187.4,186.3,186.2,184.5,182.1,173.5,—
2021,2,"University Departments of Anna University, Chennai - ACT Campus, Sardar Patel Road, Guindy, Chennai 600 025",TEXTILE TECHNOLOGY,186.0,184.0,182.3,184.3,178.7,168.1,161.7
2021,4,"University Departments of Anna University, Chennai - MIT Campus, Chrompet, Tambaram Taluk, Chengalpattu District 600 044",AERONAUTICAL ENGINEERING,195.6,194.0,193.0,194.2,190.0,187.3,—
2021,4,"University Departments of Anna University, Chennai - MIT Campus, Chrompet, Tambaram Taluk, Chengalpattu District 600 044",AUTOMOBILE ENGINEERING,191.8,190.0,189.8,—,186.3,176.5,175.9
2021,4,"University Departments of Anna University, Chennai - MIT Campus, Chrompet, Tambaram Taluk, Chengalpattu District 600 044",COMPUTER SCIENCE AND ENGINEERING (SS),196.5,196.0,194.4,196.0,191.5,188.6,187.5
2021,4,"University Departments of Anna University, Chennai - MIT Campus, Chrompet, Tambaram Taluk, Chengalpattu District 600 044",COMPUTER SCIENCE AND ENGINEERING,197.2,196.8,195.1,197.2,192.5,193.3,—
2021,4,"University Departments of Anna University, Chennai - MIT Campus, Chrompet, Tambaram Taluk, Chengalpattu District 600 044",ELECTRONICS AND COMMUNICATION ENGINEERING,196.0,195.5,193.9,—,192.0,190.9,186.0
2021,4,"University Departments of Anna University, Chennai - MIT Campus, Chrompet, Tambaram Taluk, Chengalpattu District 600 044",ELECTRONICS AND INSTRUMENTATION ENGINEERING,194.5,194.0,193.1,194.2,189.8,182.3,183.5
2021,4,"University Departments of Anna University, Chennai - MIT Campus, Chrompet, Tambaram Taluk, Chengalpattu District 600 044",ELECTRONICS AND COMMUNICATION ENGINEERING (SS),195.3,195.0,193.5,195.1,190.3,—,185.3
2021,4,"University Departments of Anna University, Chennai - MIT Campus, Chrompet, Tambaram Taluk, Chengalpattu District 600 044",INFORMATION TECHNOLOGY (SS),195.6,195.0,193.9,195.3,190.4,187.5,—
2021,4,"University Departments of Anna University, Chennai - MIT Campus, Chrompet, Tambaram Taluk, Chengalpattu District 600 044",MECHANICAL ENGINEERING (SS),193.0,192.5,191.0,193.0,186.5,185.3,175.5
2021,4,"University Departments of Anna University, Chennai - MIT Campus, Chrompet, Tambaram Taluk, Chengalpattu District 600 044",PRODUCTION ENGINEERING,191.0,189.7,188.5,188.6,184.6,178.8,—
